Metric,Value
LFPR (overall),51.7%
LFPR (Male),70.0%
LFPR (Female),30.9%
WPR,49.3%
Unemployment Rate,4.7%
Informality Share,78.8%
Male Mean Wage,"₹16,139"
Female Mean Wage,"₹10,733"
Gender Wage Gap,33.5%
Gini Coefficient,0.319
Theil T,0.166
Return to Schooling,7.3% per year
Oaxaca — Explained,30.0% of gap
Oaxaca — Unexplained,70.0% of gap
